Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.017037,0.003544,1.017182957,1.010141843,1.024273,0.09489,0.03197,1.009534163,1.003228079,1.01588,-0.002134,0.00043,0.973054486,0.962613748,0.983608,0.000932,0.000449,1.006076387,1.000337797,1.011848
Female,0.018078,0.002485,1.018242396,1.013295003,1.023214,0.094023,0.036088,1.00944664,1.002331766,1.016612,-0.002301,0.000484,0.970976707,0.959257825,0.982839,0.001039,0.000506,1.006776356,1.000307107,1.013287
Male,0.015919,0.002094,1.016046382,1.01188483,1.020225,0.095869,0.035334,1.009633002,1.002664981,1.016649,-0.001955,0.000476,0.975286505,0.963709009,0.987003,0.000817,0.000498,1.005324626,0.998966514,1.011723
Warm All,0.015047,0.00194,1.015160776,1.011308058,1.019028,0.117171,0.036767,1.011786014,1.004520957,1.019104,-0.000184,0.000354,0.997647571,0.98882654,1.006547,0.000471,0.000429,1.003066191,0.997598927,1.008563
Warm Female,0.014637,0.00261,1.014744645,1.009566873,1.019949,0.155529,0.04231,1.015674476,1.007286559,1.024132,-0.000313,0.000407,0.996001615,0.985883371,1.006224,0.000361,0.000494,1.002349255,0.996060719,1.008677
Warm Male,0.015504,0.002346,1.015624811,1.010965525,1.020306,0.076208,0.041998,1.007649912,0.999389379,1.015979,-0.000042,0.000404,0.999462544,0.989383604,1.009644,0.000593,0.000489,1.003861938,0.997627459,1.010135
Cold All,0.020294,0.003474,1.020501323,1.013576292,1.027474,0.086796,0.029666,1.008717377,1.002869172,1.0146,-0.005208,0.000523,0.935510977,0.923316293,0.947867,0.001421,0.000469,1.009279288,1.003266764,1.015328
Cold Female,0.022956,0.0045,1.023221517,1.014236386,1.032286,0.069546,0.033044,1.006978839,1.00047809,1.013522,-0.005491,0.000583,0.932128312,0.91859394,0.945862,0.001731,0.000521,1.011315036,1.004624621,1.01805
Cold Male,0.017451,0.003695,1.017604158,1.010261088,1.025001,0.10513,0.032029,1.010568456,1.004244298,1.016932,-0.004907,0.000567,0.939122266,0.925857915,0.952577,0.001089,0.000509,1.007103612,1.000594016,1.013656
Age 0-10 All,0.003277,0.003831,1.003282375,0.995777181,1.010844,0.082277,0.061846,1.008261641,0.996113456,1.020558,-0.000568,0.000886,0.992755965,0.970932462,1.01507,0.000657,0.000919,1.004279632,0.99259003,1.016107
Age 0-10 Female,0.005468,0.005507,1.005482977,0.994688437,1.016395,0.073624,0.089713,1.007389569,0.989830712,1.02526,0.002049,0.001285,1.02657416,0.994007149,1.060208,0.000201,0.001345,1.001307354,0.984295817,1.018613
Age 0-10 Male,0.001593,0.004781,1.001594269,0.992252409,1.011024,0.088797,0.080609,1.008919241,0.993104222,1.024986,-0.002593,0.001154,0.967354358,0.939749478,0.99577,0.001001,0.00119,1.006527713,0.991383239,1.021904
Age 11-60 All,0.015057,0.002078,1.015170928,1.011044667,1.019314,0.094234,0.034149,1.00946794,1.002733926,1.016247,-0.00206,0.000458,0.9739766,0.962849363,0.985232,0.000659,0.00048,1.004292687,0.998169977,1.010453
Age 11-60 Female,0.017436,0.002887,1.017588894,1.011847108,1.023363,0.097304,0.04044,1.009777894,1.001805788,1.017813,-0.002343,0.000541,0.97045485,0.95737223,0.983716,0.000983,0.000567,1.006409956,0.999166268,1.013706
Age 11-60 Male,0.012506,0.002319,1.012584527,1.007992531,1.017197,0.09089,0.039574,1.00913043,1.001333384,1.016988,-0.001757,0.000533,0.977761406,0.964773902,0.990924,0.000311,0.000559,1.002023545,0.994912824,1.009185
Age 60+All,0.023028,0.00338,1.023295191,1.016538471,1.030097,0.098235,0.042792,1.009871909,1.0014373,1.018378,-0.002556,0.00057,0.967812605,0.954071216,0.981752,0.00143,0.000593,1.009338333,1.001741695,1.016993
Age 60+ Female,0.021067,0.004034,1.021290476,1.013247339,1.029397,0.091446,0.049311,1.00918654,0.999479779,1.018988,-0.002914,0.000658,0.963387847,0.94761488,0.979423,0.001256,0.000684,1.008197416,0.999449991,1.017021
Age 60+ Male,0.025291,0.00471,1.025613531,1.016189045,1.035125,0.106217,0.051929,1.010678311,1.000443714,1.021018,-0.002144,0.000692,0.972929943,0.956184784,0.989968,0.001632,0.000721,1.010664464,1.001423472,1.019991
All: LAG 1,0.009383,0.001956,1.009427158,1.005564666,1.013304,0.00338,0.031999,1.000338057,0.994083766,1.006632,-0.000392,0.000431,0.994994967,0.984294116,1.005812,0.000713,0.000447,1.004645256,0.998940282,1.010383
Female,0.00824,0.002513,1.008274042,1.003320019,1.013253,-0.012689,0.036088,0.998731905,0.991692551,1.005821,-0.00063,0.000486,0.991968427,0.979947022,1.004137,0.000527,0.000505,1.003431374,0.99699632,1.009908
Male,0.010609,0.002166,1.010665475,1.006383931,1.014965,0.02066,0.035366,1.002068136,0.995146083,1.009038,-0.000135,0.000478,0.998273492,0.986373627,1.010317,0.000912,0.000494,1.005945605,0.999634507,1.012297
Warm All,0.007782,0.00213,1.007812358,1.003613714,1.012029,0.021492,0.036881,1.002151511,0.994933403,1.009422,0.000947,0.000353,1.012195364,1.003270874,1.021199,0.000628,0.000424,1.004090343,0.998681111,1.009529
Warm Female,0.005986,0.002728,1.006003952,1.000639324,1.011397,0.054262,0.042476,1.005440948,0.997105102,1.013846,0.000355,0.000407,1.00455434,0.99434921,1.014864,0.000294,0.00049,1.001912827,0.995677768,1.008187
Warm Male,0.009734,0.002527,1.009781529,1.004792528,1.014795,-0.01354,0.042143,0.998646916,0.990432039,1.00693,0.001589,0.000404,1.020547451,1.010255883,1.030944,0.000991,0.000484,1.006462291,1.000275378,1.012687
Cold All,0.011194,0.003486,1.011256887,1.004370965,1.01819,-0.001697,0.029726,0.999830314,0.994021944,1.005673,-0.002531,0.00053,0.968122355,0.955334785,0.981081,0.000776,0.000471,1.005056742,0.999043917,1.011106
Cold Female,0.010722,0.004492,1.010779687,1.00191952,1.019718,-0.037541,0.033033,0.996252938,0.989823566,1.002724,-0.002292,0.000589,0.97108857,0.956844458,0.985545,0.000725,0.000523,1.004723621,0.998051381,1.01144
Cold Male,0.011718,0.003738,1.011786925,1.004401177,1.019227,0.036705,0.032077,1.003677245,0.997386828,1.010007,-0.002784,0.000573,0.964992258,0.951219319,0.978965,0.000833,0.000509,1.005429185,0.998930412,1.01197
Age 0-10 All,0.003755,0.003985,1.003762059,0.995952613,1.011633,-0.021934,0.062323,0.997809004,0.985694601,1.010072,0.000724,0.000893,1.009310273,0.986949522,1.032178,0.000535,0.000915,1.003483554,0.991853762,1.01525
Age 0-10 Female,0.005655,0.005616,1.00567102,0.994661938,1.016802,-0.033903,0.090932,0.996615441,0.979010441,1.014537,0.001311,0.0013,1.016922389,0.984291092,1.050635,0.000315,0.001339,1.002049598,0.985100749,1.01929
