Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.025648,0.005956,1.02597974,1.014072336,1.038027,0.144662,0.053721,1.014571342,1.003944644,1.025311,-0.002144,0.000731,0.972929943,0.95524968,0.990937,0.00068,0.000757,1.004429783,0.994789442,1.014164
Female,0.029012,0.006488,1.029436948,1.016429016,1.042611,0.165608,0.058403,1.01669869,1.00512691,1.028404,-0.0022,0.000799,0.972232797,0.952938117,0.991918,0.000948,0.000825,1.006181024,0.995660941,1.016812
Male,0.021243,0.006542,1.021470239,1.008456234,1.034652,0.116572,0.059144,1.01172541,1.000064978,1.023522,-0.002067,0.000798,0.973889336,0.954585729,0.993583,0.000333,0.000832,1.002166844,0.991600296,1.012846
Warm All,0.021283,0.005001,1.021511098,1.0115472,1.031573,0.288194,0.058813,1.029238697,1.017442425,1.041172,0.000243,0.000596,1.003115242,0.988227793,1.018227,0.000781,0.000712,1.005089407,0.996013587,1.014248
Warm Female,0.024351,0.005581,1.024649907,1.013502588,1.03592,0.306386,0.065504,1.031112792,1.017959177,1.044436,0.000249,0.000667,1.003192285,0.986544845,1.020121,0.000735,0.000795,1.00478893,0.99466349,1.015017
Warm Male,0.017301,0.005563,1.017451529,1.006418028,1.028606,0.263746,0.065617,1.026725488,1.01360539,1.040015,0.000242,0.000659,1.003102403,0.98665446,1.019825,0.000859,0.00079,1.005599117,0.995528925,1.015771
Cold All,0.03212,0.007105,1.032641415,1.018360723,1.047122,0.073262,0.050965,1.007353102,0.997340602,1.017466,-0.00616,0.000911,0.924180389,0.90329764,0.945546,0.001087,0.000804,1.00709052,0.996827583,1.017459
Cold Female,0.035572,0.007614,1.036212253,1.020863216,1.051792,0.097261,0.054541,1.009773552,0.999036528,1.020626,-0.00633,0.00098,0.922171559,0.899775276,0.945125,0.001519,0.000861,1.009922404,0.99890496,1.021061
Cold Male,0.027495,0.007725,1.027876476,1.012430626,1.043558,0.040983,0.055474,1.00410671,0.993248292,1.015084,-0.005936,0.000985,0.926834002,0.904211053,0.950023,0.000501,0.000875,1.003261808,0.992140052,1.014508
Age 0-10 All,0.025614,0.014186,1.025944857,0.997811838,1.054871,0.143335,0.130912,1.014436717,0.988738637,1.040803,0.002591,0.001648,1.033720882,0.991853143,1.077356,0.002595,0.001801,1.017010559,0.993941189,1.040615
Age 0-10 Female,0.038322,0.020581,1.039065758,0.997985272,1.081837,0.326965,0.186189,1.033236904,0.996210654,1.071639,0.001439,0.002386,1.01858988,0.959406161,1.081425,0.002962,0.002611,1.019439534,0.986086559,1.053921
Age 0-10 Male,0.015194,0.018362,1.015310016,0.979419216,1.052516,-0.015787,0.172213,0.998422545,0.965284456,1.032698,0.003556,0.002137,1.046568587,0.99193643,1.10421,0.0023,0.002331,1.01506231,0.985361264,1.045659
Age 11-60 All,0.014025,0.005215,1.014123812,1.003810843,1.024543,0.079406,0.047064,1.00797221,0.99871688,1.017313,-0.000982,0.000626,0.987509067,0.9721213,1.00314,0.000805,0.000661,1.005246213,0.996816438,1.013747
Age 11-60 Female,0.013657,0.006784,1.013750683,1.000360425,1.02732,0.062677,0.061248,1.006287383,0.994279517,1.01844,-0.000635,0.000815,0.991904943,0.971829676,1.012395,0.000744,0.000858,1.004847712,0.993923616,1.015892
Age 11-60 Male,0.014415,0.007115,1.014519397,1.00046971,1.028766,0.097507,0.064158,1.009798393,0.997179716,1.022577,-0.001367,0.000854,0.982654594,0.961825005,1.003935,0.000874,0.000903,1.005697167,0.994193702,1.017334
Age 60+All,0.032229,0.008051,1.032753979,1.01658507,1.04918,0.178721,0.072415,1.018032762,1.003685535,1.032585,-0.003107,0.001002,0.961010831,0.937153887,0.985475,0.000573,0.001024,1.003731445,0.990722048,1.016912
