Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.002446503,0.003037248,1.002449498,0.996499638,1.008435,0.06862324,0.02723419,1.006885924,1.001525585,1.012275,-0.000572645,0.000362496,0.992696942,0.983709985,1.001766,0.000617186,0.000381768,1.004019767,0.999148348,1.008915
Female,-0.000600057,0.004190374,0.999400123,0.991225532,1.007642,0.05706994,0.03750662,1.00572331,0.998357048,1.013144,-0.001048788,0.000500711,0.98666522,0.974348415,0.999138,0.000204284,0.000526503,1.001328728,0.994634643,1.008068
Male,0.005243293,0.004097482,1.005257063,0.997216111,1.013363,0.07923643,0.03684484,1.007955118,1.000702301,1.015261,-0.000139831,0.000488602,0.998211764,0.986050327,1.010523,0.00099834,0.000515339,1.006510311,0.999923794,1.01314
Warm All,0.005568779,0.002801462,1.005584313,1.000077917,1.011121,0.1892241,0.0340538,1.019102573,1.012323177,1.025927,0.000142742,0.000324527,1.001828768,0.99370526,1.010019,0.000837908,0.000396278,1.005461261,1.000397899,1.01055
Warm Female,0.002835867,0.003860484,1.002839892,0.99528049,1.010457,0.1877403,0.04698995,1.01895137,1.009609881,1.028379,-0.000490941,0.000448169,0.993735659,0.982625008,1.004972,0.000459484,0.000545524,1.00299111,0.996044514,1.009986
Warm Male,0.008077701,0.003875236,1.008110414,1.000482355,1.015797,0.190859156,0.047297401,1.019269216,1.009863956,1.028762,0.000711847,0.000447673,1.009153279,0.997882666,1.020551,0.001189431,0.000548737,1.007761265,1.000740666,1.014831
Cold All,-0.001653561,0.003343524,0.998347805,0.991826716,1.004912,0.01846342,0.02351378,1.001848048,0.997241453,1.006476,-0.001962083,0.000417997,0.975198087,0.965024904,0.985479,0.000329398,0.00037182,1.002143381,0.997407467,1.006902
Cold Female,-0.004998183,0.004620626,0.995014287,0.986043695,1.004066,0.002385889,0.032445692,1.000238617,0.993897927,1.00662,-0.002127331,0.000577891,0.973137553,0.959130661,0.987349,-0.000108044,0.00051462,0.999297961,0.992767735,1.005871
Cold Male,0.00145691,0.004402457,1.001457972,0.992853751,1.010137,0.03341414,0.03098594,1.003347003,0.997271898,1.009459,-0.001812627,0.00055173,0.977065463,0.963634286,0.990684,0.000735197,0.00048886,1.004790217,0.998551754,1.011068
Age 0-10 All,0.008414834,0.033921398,1.008450338,0.943582851,1.077777,-0.2573103,0.2916013,0.974597192,0.9204571,1.031922,0.007128721,0.004104747,1.095540259,0.988336291,1.214373,-0.004926833,0.004326478,0.968482937,0.916545338,1.023364
Age 0-10 Female,0.05543757,0.04452509,1.057003026,0.968669686,1.153392,0.01408851,0.38842083,1.001409844,0.928001777,1.080625,0.01015411,0.00544188,1.138797189,0.993468148,1.305386,0.00365895,0.005584554,1.02406825,0.953740132,1.099582
Age 0-10 Male,-0.01849373,0.03967587,0.98167623,0.908229267,1.061063,-0.3982184,0.3384944,0.960960629,0.899274688,1.026878,0.005633426,0.004773067,1.074771255,0.953478072,1.211494,-0.010099644,0.005120103,0.936460734,0.877324979,0.999583
Age 11-60 All,0.002184595,0.003286734,1.002186983,0.995751646,1.008664,0.07014577,0.02940737,1.007039237,1.001251515,1.01286,-0.000563601,0.000392699,0.992811866,0.983078676,1.002641,0.000680613,0.000412978,1.004433785,0.999162995,1.009732
Age 11-60 Female,0.000370604,0.004607103,1.000370673,0.991378066,1.009445,0.06211284,0.04108796,1.006230614,0.998159739,1.014367,-0.001022128,0.000551394,0.987001975,0.973442412,1.00075,0.000515597,0.000578451,1.003357003,0.995989976,1.010779
Age 11-60 Male,0.003784425,0.004362968,1.003791595,0.995244352,1.012412,0.07724603,0.03920891,1.007754515,1.000039657,1.015529,-0.000165605,0.000520554,0.997882501,0.984935224,1.011,0.000827392,0.000548734,1.005392536,0.998388477,1.012446
Age 60+All,0.003814729,0.007229779,1.003822014,0.989697797,1.018148,0.07453093,0.06590705,1.007480936,0.994550215,1.02058,-0.000930935,0.000857254,0.988154746,0.967129613,1.009637,0.000476976,0.000910385,1.003105155,0.991538045,1.014807
Age 60+ Female,-0.007155756,0.009726834,0.992869785,0.974120418,1.01198,0.03191212,0.08901098,1.003196309,0.985846181,1.020852,-0.001472344,0.001153475,0.981330472,0.95333932,1.010143,-0.001498517,0.00122624,0.990306923,0.974956272,1.005899
Age 60+ Male,0.0172982,0.01053759,1.01744868,0.996650147,1.038681,0.12650252,0.09561915,1.012730605,0.993927412,1.03189,-0.000263461,0.001249841,0.996633379,0.965867795,1.028379,0.002909842,0.001324956,1.019093975,1.002036104,1.036442
All: LAG 1,0.00843017,0.003040086,1.008465804,1.002474658,1.014493,0.06625353,0.02725502,1.006647349,1.001284193,1.012039,-0.000040974,0.000364332,0.99947567,0.990381726,1.008653,0.001394337,0.000380674,1.009104386,1.004222293,1.01401
Female,0.005691579,0.004187443,1.005707807,0.997487353,1.013996,0.02773062,0.03752498,1.00277691,0.995428647,1.010179,-1.73E-05,0.000503161,0.999777992,0.987236813,1.012478,0.000992756,0.000523647,1.006473779,0.999781675,1.013211
