Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.003941457,0.002959714,1.003949235,0.998142146,1.00979,0.05731135,0.02724953,1.005747589,1.000390303,1.011134,-0.00164723,0.000350676,0.979136181,0.970559756,0.987788,0.000282839,0.000374585,1.001840144,0.997070539,1.006633
Female,0.007079216,0.003595707,1.007104333,1.000031631,1.014227,0.102642756,0.033095599,1.010317134,1.003784682,1.016892,-0.00187332,0.000426577,0.976306704,0.965914008,0.986811,0.000557446,0.000454895,1.00362997,0.997830395,1.009463
Male,0.000312332,0.003606517,1.000312381,0.993266332,1.007408,0.01062085,0.0332398,1.001062649,0.994561924,1.007606,-0.001496164,0.000427435,0.981031318,0.970567449,0.991608,-8.05E-05,0.000456687,0.999477069,0.993678807,1.005309
Warm All,-0.000105077,0.002620235,0.999894929,0.994772972,1.005043,0.04028545,0.03245605,1.00403667,0.997669878,1.010444,-0.000569024,0.000301945,0.992742952,0.985251151,1.000292,-0.000348046,0.000373315,0.997740256,0.993006239,1.002497
Warm Female,0.001930355,0.003194786,1.001932219,0.995677942,1.008226,0.08193438,0.03954879,1.008227096,1.000441973,1.016073,-0.000842901,0.000368427,0.989268859,0.98016709,0.998455,-6.53E-05,0.00045469,0.999575505,0.993801948,1.005383
Warm Male,-0.003289292,0.003355976,0.996716112,0.990181514,1.003294,-0.008864556,0.041654534,0.999113937,0.99099009,1.007304,-0.000226031,0.000386358,0.997110986,0.987492722,1.006823,-0.000825834,0.000479208,0.994646461,0.988592533,1.000737
Cold All,0.00975051,0.003393166,1.009798201,1.003104714,1.016536,0.068334997,0.024448366,1.006856901,1.002043705,1.011693,-0.003468576,0.000420749,0.956573383,0.946529133,0.966724,0.000892553,0.000379067,1.005818458,1.000972754,1.010688
Cold Female,0.015471524,0.004113481,1.015591827,1.007436617,1.023813,0.1167448,0.02958702,1.011742893,1.005892718,1.017627,-0.00366248,0.000511831,0.954202139,0.942027746,0.966534,0.001245255,0.000459455,1.008127002,1.002243209,1.014045
Cold Male,0.003905278,0.003941758,1.003912914,0.996186721,1.011699,0.02122504,0.02847168,1.002124758,0.996548027,1.007733,-0.003573038,0.000489305,0.95529519,0.943639963,0.967094,0.000505707,0.000440182,1.003292501,0.997681863,1.008935
Age 0-10 All,0.01672531,0.01434938,1.016865961,0.988665253,1.045871,0.23234359,0.12879253,1.023506379,0.99799304,1.049672,-0.000224371,0.001712934,0.997132171,0.955189015,1.040917,0.000831001,0.00182188,1.00541612,0.982348405,1.029026
Age 0-10 Female,0.02124687,0.02110812,1.021474192,0.980076112,1.064621,0.2981744,0.1918637,1.030266431,0.992242401,1.069748,0.000270656,0.002524522,1.003470406,0.941886215,1.069081,0.000751539,0.00267563,1.004896956,0.971219749,1.039742
Age 0-10 Male,0.01315133,0.01891855,1.013238189,0.976355001,1.051515,0.1830169,0.1685287,1.018470192,0.98537802,1.052674,-0.000605155,0.002255205,0.992283938,0.937700595,1.050045,0.000913975,0.002404574,1.005958517,0.975608947,1.037252
Age 11-60 All,0.001892993,0.003234958,1.001894786,0.995562351,1.008267,0.02226461,0.02977099,1.002228941,0.99639785,1.008094,-0.001361852,0.000383636,0.98271935,0.973306384,0.992223,0.000118971,0.000409572,1.000773609,0.995565222,1.006009
Age 11-60 Female,0.003964779,0.004233089,1.003972649,0.995677294,1.012337,0.06068474,0.03894079,1.006086924,0.998437301,1.013795,-0.001826463,0.000502082,0.976892441,0.964664458,0.989275,0.000301152,0.000535611,1.001959404,0.995145621,1.00882
Age 11-60 Male,-0.000180033,0.004128324,0.999819983,0.991762567,1.007943,-0.01600359,0.03802698,0.998400921,0.990987214,1.00587,-0.000899019,0.000490112,0.988558515,0.976477684,1.000789,-6.22E-05,0.00052303,0.999595496,0.992956929,1.006278
Age 60+All,0.007422687,0.0043297,1.007450303,0.99893704,1.016036,0.129216154,0.039912966,1.01300546,1.005111694,1.020961,-0.002548625,0.000512812,0.967903971,0.955531234,0.980437,0.000523788,0.000547327,1.003410421,0.996438038,1.010432
Age 60+ Female,0.011949271,0.005294335,1.012020949,1.001573611,1.022577,0.168120518,0.048765228,1.01695417,1.007280442,1.026721,-0.002074047,0.00062942,0.9738015,0.958545091,0.989301,0.001008347,0.000669291,1.006575782,0.998029439,1.015195
